SponsorApplicant,ProductNo,Form,Dosage,ProductMktStatus,TECode,ReferenceDrug,drugname,activeingred
LILLY                                             ,2,TABLET;ORAL,0.1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,3,TABLET;ORAL,0.5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,4,TABLET;ORAL,1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,5,TABLET;ORAL,5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LEDERLE                                           ,1,TABLET;ORAL,500MG,3,,0,SULFADIAZINE,SULFADIAZINE
LEDERLE                                           ,2,INJECTABLE;INJECTION,250MG/ML,3,,0,SULFADIAZINE SODIUM,SULFADIAZINE SODIUM
BRISTOL MYERS SQUIBB                              ,1,SUPPOSITORY;VAGINAL,0.1MG,3,,0,STILBESTROL,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,2,SUPPOSITORY;VAGINAL,0.5MG,3,,0,STILBESTROL,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,3,INJECTABLE;INJECTION,0.2MG/ML,3,,0,STILBESTROL,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,4,INJECTABLE;INJECTION,0.5MG/ML,3,,0,STILBESTROL,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,5,INJECTABLE;INJECTION,1MG/ML,3,,0,STILBESTROL,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,6,INJECTABLE;INJECTION,5MG/ML,3,,0,STILBESTROL,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,7,TABLET;ORAL,0.1MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,8,TABLET;ORAL,0.5MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,9,TABLET;ORAL,1MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,10,TABLET;ORAL,5MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,11,"TABLET, DELAYED RELEASE;ORAL",0.1MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,12,"TABLET, DELAYED RELEASE;ORAL",0.5MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,13,"TABLET, DELAYED RELEASE;ORAL",1MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,14,"TABLET, DELAYED RELEASE;ORAL",5MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
BRISTOL MYERS SQUIBB                              ,17,TABLET;ORAL,0.25MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
LILLY                                             ,2,TABLET;ORAL,500MG,3,,0,SULFADIAZINE,SULFADIAZINE
ABBVIE                                            ,5,TABLET;ORAL,300MG,3,,0,SULFADIAZINE,SULFADIAZINE
PHARMACIA AND UPJOHN                              ,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
PHARMACIA AND UPJOHN                              ,2,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
PHARMACIA AND UPJOHN                              ,3,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
B BRAUN                                           ,4,INJECTABLE;INJECTION,5ML/100ML;5GM/100ML,1,AP,1,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
B BRAUN                                           ,6,INJECTABLE;INJECTION,10ML/100ML;5GM/100ML,1,,1,ALCOHOL 10% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
WYETH PHARMS INC                                  ,1,TABLET;ORAL,1.25MG,1,,1,PREMARIN,"ESTROGENS, CONJUGATED"
WYETH PHARMS INC                                  ,2,TABLET;ORAL,2.5MG,3,,0,PREMARIN,"ESTROGENS, CONJUGATED"
WYETH PHARMS INC                                  ,3,TABLET;ORAL,0.3MG,1,,0,PREMARIN,"ESTROGENS, CONJUGATED"
WYETH PHARMS INC                                  ,4,TABLET;ORAL,0.625MG,1,,1,PREMARIN,"ESTROGENS, CONJUGATED"
WYETH PHARMS INC                                  ,5,TABLET;ORAL,0.9MG,1,,1,PREMARIN,"ESTROGENS, CONJUGATED"
WYETH PHARMS INC                                  ,6,TABLET;ORAL,0.45MG,1,,0,PREMARIN,"ESTROGENS, CONJUGATED"
SANOFI AVENTIS US                                 ,1,TABLET;ORAL,50MG,1,AA,1,DEMEROL,MEPERIDINE HYDROCHLORIDE
SANOFI AVENTIS US                                 ,2,INJECTABLE;INJECTION,50MG/ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
SANOFI AVENTIS US                                 ,3,INJECTABLE;INJECTION,100MG/ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
SANOFI AVENTIS US                                 ,4,TABLET;ORAL,100MG,1,AA,1,DEMEROL,MEPERIDINE HYDROCHLORIDE
SANOFI AVENTIS US                                 ,5,SYRUP;ORAL,50MG/5ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
SANOFI AVENTIS US                                 ,7,INJECTABLE;INJECTION,25MG/ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
SANOFI AVENTIS US                                 ,9,INJECTABLE;INJECTION,75MG/ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
NOVARTIS                                          ,1,PELLET;IMPLANTATION,125MG,3,,0,PERCORTEN,DESOXYCORTICOSTERONE ACETATE
ENDO PHARMS                                       ,1,TABLET;ORAL,1.5MG;5MG,3,,0,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
ENDO PHARMS                                       ,2,SYRUP;ORAL,1.5MG/5ML;5MG/5ML,3,,0,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
HOSPIRA                                           ,4,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
HOSPIRA                                           ,6,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
HOSPIRA                                           ,7,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
HOSPIRA                                           ,8,INJECTABLE;INJECTION,"20,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
HOSPIRA                                           ,9,INJECTABLE;INJECTION,"40,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
HOSPIRA                                           ,10,INJECTABLE;INJECTION,100 UNITS/ML,3,,0,HEPARIN LOCK FLUSH,HEPARIN SODIUM
HOSPIRA                                           ,13,INJECTABLE;INJECTION,"2,000 UNITS/ML",3,,0,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
HOSPIRA                                           ,14,INJECTABLE;INJECTION,"2,500 UNITS/ML",3,,0,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
SCHERING                                          ,1,TABLET;ORAL,0.02MG,3,,0,ESTINYL,ETHINYL ESTRADIOL
SCHERING                                          ,2,TABLET;ORAL,0.05MG,3,,0,ESTINYL,ETHINYL ESTRADIOL
SCHERING                                          ,3,TABLET;ORAL,0.5MG,3,,0,ESTINYL,ETHINYL ESTRADIOL
ALCON                                             ,1,INJECTABLE;INJECTION,1,3,,0,PANTOPAQUE,IOPHENDYLATE
RECORDATI RARE                                    ,2,TABLET;ORAL,5MG,1,AA,1,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
RECORDATI RARE                                    ,3,"TABLET, EXTENDED RELEASE;ORAL",10MG,3,,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
RECORDATI RARE                                    ,4,"TABLET, EXTENDED RELEASE;ORAL",5MG,3,,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
RECORDATI RARE                                    ,5,"TABLET, EXTENDED RELEASE;ORAL",15MG,3,,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
ORGANON USA INC                                   ,2,TABLET;ORAL,0.05MG,3,,0,LYNORAL,ETHINYL ESTRADIOL
ORGANON USA INC                                   ,3,TABLET;ORAL,0.01MG,3,,0,LYNORAL,ETHINYL ESTRADIOL
LILLY                                             ,1,CAPSULE;ORAL,50MG,3,,0,DICUMAROL,DICUMAROL
LILLY                                             ,3,CAPSULE;ORAL,25MG,3,,0,DICUMAROL,DICUMAROL
LILLY                                             ,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
LILLY                                             ,2,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
LILLY                                             ,4,INJECTABLE;INJECTION,"20,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
ABBVIE                                            ,3,TABLET;ORAL,25MG,3,,0,DICUMAROL,DICUMAROL
ABBVIE                                            ,4,TABLET;ORAL,50MG,3,,0,DICUMAROL,DICUMAROL
ABBVIE                                            ,5,TABLET;ORAL,100MG,3,,0,DICUMAROL,DICUMAROL
MERCK                                             ,1,INJECTABLE;INJECTION,0.2,3,,0,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM
MERCK                                             ,1,INJECTABLE;INJECTION,12.5GM/50ML,3,,0,MANNITOL 25%,MANNITOL
BRISTOL MYERS SQUIBB                              ,1,INJECTABLE;INJECTION,3MG/ML,3,,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
MEDPOINTE PHARM HLC                               ,2,TABLET;ORAL,130CSR UNIT,3,,0,VERTAVIS,VERATRUM VIRIDE ROOT
LILLY                                             ,1,INJECTABLE;INJECTION,10MG/ML,3,,0,KAPPADIONE,MENADIOL SODIUM DIPHOSPHATE
ORTHO MCNEIL PHARM                                ,1,CREAM;VAGINAL,2.86%;3.42%;3.7%,3,,0,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
ORTHO MCNEIL PHARM                                ,2,TABLET;VAGINAL,143.75MG;172.5MG;184MG,3,,0,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
SHIRE                                             ,1,OINTMENT;TOPICAL,0.002,3,,0,FURACIN,NITROFURAZONE
MCNEIL CONS                                       ,1,CAPSULE;ORAL,50MG,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
MCNEIL CONS                                       ,4,ELIXIR;ORAL,12.5MG/5ML,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
MCNEIL CONS                                       ,7,CAPSULE;ORAL,25MG,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
ABBVIE                                            ,2,SOLUTION;ORAL,200MG/5ML,3,,0,TRIDIONE,TRIMETHADIONE
ABBVIE                                            ,5,CAPSULE;ORAL,300MG,3,,0,TRIDIONE,TRIMETHADIONE
ABBVIE                                            ,9,TABLET;ORAL,150MG,1,,1,TRIDIONE,TRIMETHADIONE
HIKMA (MAPLE)                                     ,4,TABLET;ORAL,1MG,3,,0,FOLVITE,FOLIC ACID
HIKMA (MAPLE)                                     ,8,INJECTABLE;INJECTION,5MG/ML,3,,0,FOLVITE,FOLIC ACID
NOVARTIS                                          ,2,TABLET;ORAL,50MG,3,,0,PBZ,TRIPELENNAMINE HYDROCHLORIDE
NOVARTIS                                          ,4,ELIXIR;ORAL,EQ 25MG HCL/5ML,3,,0,PBZ,TRIPELENNAMINE CITRATE
VALEANT                                           ,1,INJECTABLE;INJECTION,1MG/ML,1,AP,1,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE
ABBVIE                                            ,12,INJECTABLE;INJECTION,0.05,3,,0,AMINOSOL 5%,PROTEIN HYDROLYSATE
AKORN                                             ,1,INJECTABLE;INJECTION,0.1,1,,1,BAL,DIMERCAPROL
SCHERING                                          ,1,SOLUTION/DROPS;OPHTHALMIC,0.1,3,,0,SODIUM SULAMYD,SULFACETAMIDE SODIUM
SCHERING                                          ,2,OINTMENT;OPHTHALMIC,0.1,3,,0,SODIUM SULAMYD,SULFACETAMIDE SODIUM
SCHERING                                          ,3,SOLUTION/DROPS;OPHTHALMIC,0.3,3,,0,SODIUM SULAMYD,SULFACETAMIDE SODIUM
ELKINS SINN                                       ,4,INJECTABLE;INJECTION,1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,SOTRADECOL,SODIUM TETRADECYL SULFATE
ELKINS SINN                                       ,5,INJECTABLE;INJECTION,3% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,SOTRADECOL,SODIUM TETRADECYL SULFATE
SANOFI AVENTIS US                                 ,1,TABLET;ORAL,EQ 300MG BASE,1,AA,1,ARALEN,CHLOROQUINE PHOSPHATE
SANOFI AVENTIS US                                 ,2,INJECTABLE;INJECTION,EQ 40MG BASE/ML,3,,0,ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE
NOVARTIS                                          ,1,TABLET;ORAL,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,MESANTOIN,MEPHENYTOIN
LEDERLE                                           ,3,CAPSULE;ORAL,182MG;0.33MG,3,,0,FOLVRON,FERROUS SULFATE; FOLIC ACID
EDISON THERAPS LLC                                ,3,TABLET;ORAL,0.2MG,1,AB,1,METHERGINE,METHYLERGONOVINE MALEATE
EDISON THERAPS LLC                                ,4,INJECTABLE;INJECTION,0.2MG/ML,1,AP,1,METHERGINE,METHYLERGONOVINE MALEATE
ABBVIE                                            ,3,"TABLET, DELAYED RELEASE;ORAL",165MG,3,,0,DIASONE SODIUM,SULFOXONE SODIUM
ROCHE                                             ,3,INJECTABLE;INJECTION,"50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML",3,,0,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E
HOSPIRA                                           ,1,INJECTABLE;INJECTION,3MG/ML,3,,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
ORTHO MCNEIL PHARM                                ,5,CREAM;VAGINAL,0.0001,3,,0,DIENESTROL,DIENESTROL
ROXANE                                            ,2,TABLET;ORAL,5MG,1,AA,1,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
ROXANE                                            ,4,SYRUP;ORAL,10MG/30ML,3,,0,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
ROXANE                                            ,10,TABLET;ORAL,10MG,1,AA,1,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
LILLY                                             ,3,TABLET;ORAL,1MG,3,,0,FOLIC ACID,FOLIC ACID
MCNEIL CONS                                       ,1,INJECTABLE;INJECTION,10MG/ML,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
MCNEIL CONS                                       ,2,INJECTABLE;INJECTION,50MG/ML,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
B BRAUN                                           ,3,INJECTABLE;INJECTION,0.05,3,,0,HYPROTIGEN 5%,PROTEIN HYDROLYSATE
DAVA PHARMS INC                                   ,1,TABLET;ORAL,50MG,1,BD,1,PROPYLTHIOURACIL,PROPYLTHIOURACIL
NOVARTIS                                          ,1,INJECTABLE;INJECTION,2.5MG/ML,3,,0,HEAVY SOLUTION NUPERCAINE,DIBUCAINE HYDROCHLORIDE
LILLY                                             ,1,TABLET;ORAL,50MG,3,,0,PROPYLTHIOURACIL,PROPYLTHIOURACIL
ARBROOK                                           ,3,SOAP;TOPICAL,0.02,3,,0,GAMOPHEN,HEXACHLOROPHENE
REED AND CARNRICK                                 ,1,CREAM;TOPICAL,0.01,3,,0,KWELL,LINDANE
REED AND CARNRICK                                 ,3,LOTION;TOPICAL,0.01,3,,0,KWELL,LINDANE
LILLY                                             ,7,SUSPENSION;ORAL,250MG/5ML;250MG/5ML,3,,0,SULFONAMIDES DUPLEX,SULFADIAZINE; SULFAMERAZINE
LILLY                                             ,11,TABLET;ORAL,167MG,3,,0,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
LILLY                                             ,12,SUSPENSION;ORAL,167MG/5ML,3,,0,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
LILLY                                             ,1,INJECTABLE;INJECTION,3MG/ML,3,,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
SANOFI AVENTIS US                                 ,2,SOLUTION;INHALATION,0.005,3,,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
SANOFI AVENTIS US                                 ,3,SOLUTION;INHALATION,0.01,3,,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
SANOFI AVENTIS US                                 ,1,"TABLET;RECTAL, SUBLINGUAL",10MG,3,,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
SANOFI AVENTIS US                                 ,2,"TABLET;RECTAL, SUBLINGUAL",15MG,3,,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
CENT PHARMS                                       ,8,ELIXIR;ORAL,EQ 165MG BASE/15ML,3,,0,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE
BAXTER HLTHCARE                                   ,2,INJECTABLE;INJECTION,150 UNITS/ML,3,,0,WYDASE,HYALURONIDASE
BAXTER HLTHCARE                                   ,5,INJECTABLE;INJECTION,"1,500 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",3,,0,WYDASE,HYALURONIDASE
BAXTER HLTHCARE                                   ,6,INJECTABLE;INJECTION,150 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,WYDASE,HYALURONIDASE
MALLINCKRODT                                      ,2,POWDER;FOR RX COMPOUNDING,50GM/BOT,1,,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
MALLINCKRODT                                      ,3,POWDER;FOR RX COMPOUNDING,100GM/BOT,1,,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
MALLINCKRODT                                      ,4,POWDER;FOR RX COMPOUNDING,500GM/BOT,1,,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
NOVARTIS                                          ,5,INJECTABLE;INJECTION,25MG/ML,3,,0,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE
SANOFI AVENTIS US                                 ,14,TABLET;ORAL,25MG,3,,0,DECAPRYN,DOXYLAMINE SUCCINATE
SANOFI AVENTIS US                                 ,15,TABLET;ORAL,12.5MG,3,,0,DECAPRYN,DOXYLAMINE SUCCINATE
PARKE DAVIS                                       ,1,TABLET;ORAL,EQ 200MG BASE,3,,0,CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE
LEDERLE                                           ,1,TABLET;ORAL,50MG,3,,0,HETRAZAN,DIETHYLCARBAMAZINE CITRATE
LILLY                                             ,2,INJECTABLE;INJECTION,10MG/ML,3,,0,PROTAMINE SULFATE,PROTAMINE SULFATE
LILLY                                             ,1,INJECTABLE;INJECTION,EQ 90MG CALCIUM/5ML,3,,0,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE
FRESENIUS KABI USA                                ,2,INJECTABLE;INJECTION,0.02,1,AP,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
